No;type;QP;size
265;P;5.00;32140;
266;P;5.00;32308;
267;P;5.00;32462;
268;P;5.00;32223;
269;P;5.00;32433;
270;P;5.00;32997;
271;P;5.00;32216;
272;P;5.00;33246;
273;P;5.00;33708;
274;P;5.00;33022;
275;P;5.00;34265;
276;P;5.00;34482;
277;P;5.00;34459;
278;P;5.00;33069;
279;P;5.00;33606;
280;P;5.00;33778;
281;P;5.00;32999;
282;P;5.00;33492;
283;P;5.00;33421;
284;P;5.00;32756;
285;P;5.00;33065;
286;P;5.00;33523;
287;P;5.00;33444;
288;P;5.00;33252;
289;P;5.00;33471;
290;P;5.00;33396;
291;P;5.00;32934;
292;P;5.00;33135;
293;P;5.00;33098;
294;P;5.00;32947;
295;P;5.00;32833;
296;P;5.00;32393;
297;P;5.00;30907;
298;P;5.00;30922;
299;P;5.00;31143;
300;P;5.00;32314;
301;P;5.00;31566;
302;P;5.00;32486;
303;P;5.00;32746;
304;P;5.00;32202;
305;P;5.00;32586;
306;P;5.00;32912;
307;P;5.00;34446;
308;P;5.00;34161;
309;P;5.00;33578;
310;P;5.00;33815;
311;P;5.00;34035;
312;P;5.00;34024;
313;P;5.00;34556;
314;P;5.00;34152;
315;P;5.00;35754;
316;P;5.00;34009;
317;P;5.00;34383;
318;P;5.00;34507;
319;P;5.00;33953;
320;P;5.00;34238;
321;P;5.00;35151;
322;P;5.00;34058;
323;P;5.00;34577;
324;P;5.00;33643;
325;P;5.00;34038;
326;P;5.00;33383;
327;P;5.00;34202;
328;P;5.00;34732;
329;P;5.00;33539;
330;P;5.00;34419;
331;P;5.00;35380;
332;P;5.00;34240;
333;P;5.00;34039;
334;P;5.00;34996;
335;P;5.00;34684;
336;P;5.00;33487;
337;P;5.00;34348;
338;P;5.00;34924;
339;P;5.00;33653;
340;P;5.00;34189;
341;P;5.00;34905;
342;P;5.00;33313;
343;P;5.00;34126;
344;P;5.00;34636;
345;P;5.00;33512;
346;P;5.00;33893;
347;P;5.00;34048;
348;P;5.00;33504;
349;P;5.00;33695;
350;P;5.00;33956;
351;P;5.00;33902;
352;P;5.00;33643;
353;P;5.00;32919;
354;P;5.00;31347;
355;P;5.00;32017;
356;P;5.00;33728;
357;P;5.00;31965;
358;P;5.00;31651;
359;P;5.00;32196;
360;P;5.00;32927;
361;P;5.00;32252;
362;P;5.00;33084;
363;P;5.00;33564;
364;P;5.00;33150;
365;P;5.00;33482;
366;P;5.00;32958;
367;P;5.00;33474;
368;P;5.00;33403;
369;P;5.00;33690;
370;P;5.00;33197;
371;P;5.00;33631;
372;P;5.00;33744;
373;P;5.00;32484;
374;P;5.00;32784;
375;P;5.00;31786;
376;P;5.00;32524;
377;P;5.00;31835;
378;P;5.00;33037;
379;P;5.00;32770;
380;P;5.00;32325;
381;P;5.00;31694;
382;P;5.00;32561;
383;P;5.00;33725;
384;P;5.00;33136;
385;P;5.00;33499;
386;P;5.00;32381;
387;P;5.00;32005;
388;P;5.00;32311;
389;P;5.00;33194;
390;P;5.00;31950;
391;P;5.00;32838;
392;P;5.00;33624;
393;P;5.00;32599;
394;P;5.00;33732;
395;P;5.00;33515;
396;P;5.00;32511;
397;P;5.00;33340;
398;P;5.00;33382;
399;P;5.00;32546;
400;P;5.00;33249;
401;P;5.00;34024;
402;P;5.00;31777;
403;P;5.00;31961;
404;P;5.00;34302;
405;P;5.00;32972;
406;P;5.00;32674;
407;P;5.00;33535;
408;P;5.00;34130;
409;P;5.00;34074;
410;P;5.00;34077;
411;P;5.00;33953;
412;P;5.00;32884;
413;P;5.00;34350;
414;P;5.00;35907;
415;P;5.00;35536;
416;P;5.00;35815;
417;P;5.00;34180;
418;P;5.00;34364;
419;P;5.00;35267;
420;P;5.00;35901;
421;P;5.00;34212;
422;P;5.00;35175;
423;P;5.00;36249;
424;P;5.00;35579;
425;P;5.00;35498;
426;P;5.00;36065;
427;P;5.00;35522;
428;P;5.00;34036;
429;P;5.00;35326;
430;P;5.00;35451;
431;P;5.00;33867;
432;P;5.00;35401;
433;P;5.00;36047;
434;P;5.00;35511;
435;P;5.00;34333;
436;P;5.00;33886;
437;P;5.00;35223;
438;P;5.00;34488;
439;P;5.00;34252;
440;P;5.00;33313;
441;P;5.00;34465;
442;P;5.00;34260;
443;P;5.00;33620;
444;P;5.00;34785;
445;P;5.00;34102;
446;P;5.00;34607;
447;P;5.00;33876;
