d:\University\Studying\Dissertation\x264>x264.exe --min-keyint 10000 --bframes 0 --qp 5 --video-filter crop:300,0,300,0/resize:width=352,height=288 --psnr --verbose --fps 30 -o conference_QP5.mp4 conference_raw.avi 
ffms [error]: could not create video source
lavf [info]: 1920x1080p 0:1 @ 0/0 fps (cfr)
crop [info]: cropping to 1320x1080
resize [info]: resizing to 352x288
resize [warning]: converting from bgr24 to yuv420p
x264 [warning]: --psnr used with psy on: results will be invalid!
x264 [warning]: --tune psnr should be used if attempting to benchmark psnr!
x264 [debug]: using mv_range_thread = 24
x264 [info]: using SAR=1/1
x264 [info]: using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX
x264 [info]: profile High, level 1.3
x264 [debug]: frame=  33 QP=5.00 NAL=2 Slice:P Poc:66  I:18   P:378  SKIP:0    size=31287 bytes PSNR Y:55.70 U:57.54 V:57.62
x264 [debug]: frame=  34 QP=5.00 NAL=2 Slice:P Poc:68  I:13   P:383  SKIP:0    size=30604 bytes PSNR Y:55.73 U:57.52 V:57.67
x264 [debug]: frame=  35 QP=5.00 NAL=2 Slice:P Poc:70  I:17   P:379  SKIP:0    size=30572 bytes PSNR Y:55.74 U:57.65 V:57.68
x264 [debug]: frame=  36 QP=5.00 NAL=2 Slice:P Poc:72  I:15   P:381  SKIP:0    size=30705 bytes PSNR Y:55.66 U:57.75 V:57.69
x264 [debug]: frame=  37 QP=5.00 NAL=2 Slice:P Poc:74  I:18   P:378  SKIP:0    size=30533 bytes PSNR Y:55.67 U:57.60 V:57.74
x264 [debug]: frame=  38 QP=5.00 NAL=2 Slice:P Poc:76  I:12   P:384  SKIP:0    size=30728 bytes PSNR Y:55.71 U:57.44 V:57.76
x264 [debug]: frame=  39 QP=5.00 NAL=2 Slice:P Poc:78  I:26   P:370  SKIP:0    size=30923 bytes PSNR Y:55.75 U:57.57 V:57.73
x264 [debug]: frame=  40 QP=5.00 NAL=2 Slice:P Poc:80  I:12   P:384  SKIP:0    size=30095 bytes PSNR Y:55.69 U:57.46 V:57.87
x264 [debug]: frame=  41 QP=5.00 NAL=2 Slice:P Poc:82  I:16   P:380  SKIP:0    size=30346 bytes PSNR Y:55.73 U:57.60 V:57.77
x264 [debug]: frame=  42 QP=5.00 NAL=2 Slice:P Poc:84  I:14   P:382  SKIP:0    size=30876 bytes PSNR Y:55.66 U:57.49 V:57.86
